time_sec,delta_alpha,gamma43_power,alpha_power,beta_power,theta_power,mse_time
2.5,3.5122528603588643,3.0141574946465744e-05,0.000552972131914624,0.00015024949313112716,0.0015838393472268554,0.49299188208256667
6.5,4.266294555407865,7.580976460414781e-05,0.00044499925785882307,0.00014459330816938548,0.000943163985920989,0.13875831913319303
10.5,2.209681963307024,4.859805252890161e-05,0.00048715748080862544,0.0002085719221657291,0.001226399917720079,0.16469816293154754
14.5,8.167085292682996,3.0781873620339246e-05,0.00018958087540094884,9.952599774793564e-05,0.0020792527092811743,0.178133501457245
18.5,4.177271707165226,3.598475826939606e-05,0.00042919495922691744,0.0001542133043682688,0.0014366876041633444,0.1659467688984559
22.5,3.209061742627897,5.019448643116127e-05,0.0004884863322885694,0.0001573614153465302,0.0009261212637440182,0.15850090460362076
26.5,3.0761246264858246,5.125862835297355e-05,0.00024908701967847716,0.00010007136236324367,0.0014162332706560293,0.16036534432600844
30.5,11.036735793921057,7.682229123106588e-05,0.0003855719346930689,0.0002249457148033443,0.0017401580903307352,0.23905043473918292
34.5,5.01982076519209,5.4413030881701434e-05,0.000397339044430134,0.00019891008654559773,0.0009893926052927434,0.2506751424484775
38.5,4.52285052644672,0.0002974547813428778,0.0007320615475947085,0.00033970348824357487,0.0016051962296384063,0.2740117700082665
42.5,5.90731306558654,0.00037168753121444753,0.0003133000991494136,0.0003638531570450739,0.0025403854938363876,0.27977732183370996
46.5,8.199828113697455,0.00021357916639246953,0.00031614446941751866,0.00029506007043166276,0.0008862473481016006,0.2651474127541158
50.5,7.3507443918761695,6.217475641078984e-05,0.0008539797003356301,0.00024009909529388397,0.0031205280505263566,0.6958584718468364
54.5,4.180524780543169,0.00011782538605607755,0.0005611025941622946,0.00028726928716826567,0.0017635455040404945,0.3792342693889535
58.5,6.966219758414849,6.438846853741699e-05,0.00043362289162966175,0.00014946380299522296,0.0007745377901825128,0.15819816081507215
62.5,2.581401661377779,3.3900186547802844e-05,0.0003061517674448235,0.00016310334018867744,0.0008688328953741848,0.1625027810770739
66.5,5.336416432997833,0.18116244727940786,0.21404538703751116,0.33674939268474097,0.30336188494449756,3.4114298330407933
70.5,3.8482679807695535,0.36205034639862027,2.7465478368855534,0.7841484245055937,1.4944090782335262,5.664861063354117
74.5,8.27919485604244,0.06637649048710446,0.26144888054551124,0.18783018833603837,0.3721319389324328,1.8845122236598975
78.5,6.395631492741676,2.863480612502789e-05,0.0005201951546694791,0.0001261451737322348,0.0008502371554335667,0.25773538010182845
82.5,4.008891112836144,1.8281314931800368e-05,0.0005574772032248493,0.00013372278255339415,0.0013048438277903117,0.22001597893587949
