time_sec,delta_alpha,gamma43_power,alpha_power,beta_power,theta_power,mse_time
2.5,2.6047689960257205,2.8380969240882543e-06,4.665019421159237e-06,4.925262724891431e-06,6.801861572789525e-06,0.02075753435503927
6.5,1.887117439951858,1.1662696457636386e-06,9.406479333012314e-06,2.4552711085843378e-06,8.34493394620266e-06,0.018613317614267953
10.5,3.346398011007902,1.732381693556973e-06,6.583388785048335e-06,6.018544626759632e-06,1.4769135503308207e-05,0.021539920414518743
14.5,3.299401668005197,1.7704069807160075e-06,5.045306874141135e-06,4.6621690510856965e-06,1.4304690955966382e-05,0.020702747344152318
18.5,14.003902755056188,8.722263722584629e-06,8.057085802253824e-06,5.674539281235388e-06,1.1413109825467277e-05,1.247464405079271
22.5,12.554981724802289,0.0006265299625406233,0.014556744632482764,0.0038972062251414028,0.04561231447266019,1.3907627783757723
26.5,2.6820987024047582,1.2497547353393793e-06,3.7301193178753206e-06,2.326197649882742e-06,6.616222204351953e-06,0.01548778752132099
30.5,4.143510612285858,2.061301285904794e-06,4.446259268479764e-05,3.7212210856845426e-06,8.767356075690766e-06,0.025036863095027305
34.5,4.525710900950425,2.0757274536000117e-06,3.358793217881509e-05,4.0293756698545085e-06,1.0701606341364707e-05,0.022112313396908355
38.5,3.6614392321870026,9.675554076335e-07,4.609193885247506e-06,2.3837930398458643e-06,9.556809699089362e-06,0.017624846465016837
42.5,3.7315082578042817,6.21819940366451e-07,3.903262367055341e-06,3.311147786822986e-06,7.726714529630683e-06,0.018616258322872836
46.5,3.516187892431305,1.39942982531943e-06,9.396063195544852e-06,3.383701144348808e-06,1.0452013795161503e-05,0.022774510539156873
50.5,1.764062301548754,5.736255046918408e-07,8.444140590056484e-06,2.550252585536535e-06,1.6277067271161247e-05,0.01814502957807164
54.5,2.4214184605951488,3.7799277610308817e-07,1.2704554256430737e-05,3.883956849702511e-06,8.032551824315968e-06,0.017001778195376037
58.5,1.653807511823818,4.4646795667744255e-07,8.051872574245224e-06,1.856119939337072e-06,1.1879501702646655e-05,0.014773551398826513
62.5,1.9771180581521965,9.168902174351317e-07,1.582583263366934e-05,1.7694356723442771e-06,1.1297673565706522e-05,0.019649552103393225
66.5,5.282512626402478,2.0904866839220883e-06,7.256578155716205e-06,4.85253957770545e-06,6.38147051644506e-06,0.019841734957617575
70.5,2.2160480126631192,1.1075357663786455e-06,7.147002783050202e-06,3.4178325977053935e-06,1.7530527453371056e-05,0.017052991425832123
74.5,6.152536594613679,1.3396179122379146e-06,1.4284364628526478e-05,3.095459217666456e-06,1.5321439302098833e-05,0.01735222750952317
78.5,3.616405624439423,2.3726087318370053e-06,9.215310776485042e-06,6.5417639011541905e-06,1.1601439158053223e-05,0.018589434890282443
82.5,3.59242228730964,1.42534684493332e-06,1.0125410897594384e-05,3.958554905745675e-06,1.134916014209263e-05,0.018028363207979924
86.5,3.0190351449918404,1.4725493459611493e-06,7.676897450410115e-06,3.135482237718896e-06,8.442011030868032e-06,0.017818315866714098
90.5,5.677568736900488,1.7236340526132688e-06,1.269680850566805e-05,3.2130239724406843e-06,2.0542445086224842e-05,0.019624232544861325
94.5,8.749140716869261,9.431380077107393e-07,7.026902590004978e-06,1.950185581825605e-06,8.766195205192758e-06,0.01722910384423036
98.5,3.5533686830069446,5.978063809173371e-07,1.4235358864539215e-05,5.041012541683688e-06,1.0327852434639175e-05,0.01742838026962324
102.5,2.6356899264639138,4.193882708711154e-07,4.277292496222983e-06,4.202131471369213e-06,8.016966640427734e-06,0.0146310451623461
106.5,3.817428138892981,6.733349438766197e-07,1.2756302004302643e-05,2.662883401567425e-06,8.640936381572153e-06,0.01566349487204143
110.5,3.494287421594795,4.1047081484111815e-07,1.4337448164370256e-05,3.1915710711406183e-06,1.3078820570843093e-05,0.016724132724964643
114.5,2.0370045977740396,3.6431782668773514e-07,2.3698533936382686e-05,3.130131922788967e-06,1.0648888419974969e-05,0.01726055537079406
118.5,3.4987276302482053,1.078742561460409e-06,6.2788365022269536e-06,2.258029649513385e-06,6.241921106833545e-06,0.01462195647753407
122.5,3.4514579105872207,8.143766972710063e-07,1.1182082237562994e-05,3.742736300035843e-06,5.503644919775731e-06,0.014984176575448422
126.5,1.9672689112504638,8.085956791404747e-07,7.02519128188418e-06,2.0179030902130815e-06,1.2179743094530533e-05,0.01502974154239622
130.5,3.271370129160415,7.72049806091494e-07,7.878223232153287e-06,2.5096107835202996e-06,1.0388479063445463e-05,0.016563023254218986
134.5,5.51515492148408,9.069195086841834e-06,3.859509459845815e-05,1.3100751132969191e-05,1.769593262730805e-05,0.019071646350885794
138.5,5.434244623444794,1.7889975872030668e-06,1.4488742098834258e-05,2.252709942261917e-06,5.100943190284706e-06,0.01644049048099315
142.5,1.6080659424634203,9.012360506344196e-07,1.2455952965429404e-05,3.0489382530356104e-06,1.4480754230371352e-05,0.01740994450450229
146.5,3.06348800331996,9.295625985343906e-07,7.050235735902443e-06,3.3626833736307568e-06,1.1113294437186192e-05,0.01705514983241323
150.5,2.1758833282900056,8.549241818389048e-07,1.7155907270336425e-05,2.5415345019460776e-06,1.2889551298278313e-05,0.017120730865317322
154.5,3.12455501483256,8.446772851108631e-07,7.669924738584151e-06,4.577093455801492e-06,7.74869960146757e-06,0.016303216560315994
158.5,0.9795388615577076,6.148816666291403e-07,1.6024488097387785e-05,3.2335260748289615e-06,1.3810801430521166e-05,0.016890627766773747
162.5,3.9224563024126478,7.800335003417955e-07,7.437567596534562e-06,2.921841451989605e-06,1.9563573815845692e-05,0.016717669910751826
166.5,3.1496469597576264,9.753826700227691e-07,1.7735705911990244e-05,2.5231359748388577e-06,1.412163073037512e-05,0.018803383773662218
170.5,1.9216811789229862,8.133522773726099e-07,1.2780453102041192e-05,4.266997255235605e-06,7.830959576940694e-06,0.015895493444753984
174.5,1.6676001160487246,1.6591585600478025e-06,6.837684484447306e-06,3.864453924169215e-06,1.1458440712304356e-05,0.01611381174090481
178.5,1.5502042243731178,6.436175964020451e-07,1.929148815688184e-05,3.5285515457623706e-06,7.837798228257884e-06,0.017117871744655518
182.5,2.78363960310878,7.665807024014462e-07,1.7119716740907076e-05,4.359035663075091e-06,4.035461738005844e-06,0.017289566664154855
186.5,3.953750485234725,1.093128657105426e-06,1.9828641307278793e-05,4.024812296709579e-06,9.742719894621658e-06,0.018300570939400483
190.5,1.0369815729265668,1.00670285474782e-06,1.5719859229872964e-05,3.683372721676846e-06,6.111229669499807e-06,0.01945466413082371
194.5,9.164235388997145,8.079567130305729e-06,5.2321904738840286e-05,1.826875135986864e-05,0.0006984816032629414,0.5785603325529902
198.5,6.930572187704101,2.3113642190593096e-06,1.490874778598337e-05,4.899966788520718e-06,1.915052979258378e-05,1.1875572473712634
202.5,12.2169410186563,0.001040777153963227,0.023597604795327527,0.006231497138546888,0.07182345390226329,1.1790613877783742
206.5,2.010742398192808,1.0583842420419592e-06,1.163654559225281e-05,2.911776610368981e-06,1.2178090784209285e-05,0.017613361880412376
210.5,2.377672627036532,1.259860957909757e-06,1.938374247946412e-05,3.826294088742655e-06,4.87727722924695e-06,0.016614092450644363
214.5,2.1071470775473964,8.665248439796859e-07,7.485034534806217e-06,3.7544340297226374e-06,3.4242770732138633e-06,0.014856099452504995
218.5,2.293229732497295,1.6036290948539177e-06,6.689254141725569e-06,3.5431778849839597e-06,8.688024182879761e-06,0.016371005040602484
222.5,5.432435167784938,1.1621305651837467e-06,1.1698345603839885e-05,5.580499610216061e-06,6.54567908991339e-06,0.016095073249763153
226.5,3.1586759767726615,9.298618309183619e-07,9.580214792796095e-06,3.4929870270460315e-06,1.3275744425512667e-05,0.017764729437877068
230.5,5.127534876892839,7.71644637571066e-07,2.788823356187193e-05,4.553047129037716e-06,1.808848699217073e-05,0.019267800981901256
234.5,3.300115234785668,8.786308145325281e-07,8.086106542027774e-06,4.9783045302372094e-06,9.68294842809083e-06,0.017895276810509883
238.5,3.3931228145133874,8.462086522282215e-07,7.937334935859545e-06,3.064128410152834e-06,7.862454273478206e-06,0.017502971060364147
242.5,3.558374341071927,7.356831134697474e-07,1.1853882165438663e-05,3.1103741301462706e-06,8.867547241053237e-06,0.014861490773990599
246.5,8.867726459627375,8.513020603083197e-07,8.489944545402767e-06,2.3374869503875328e-06,1.4049376782347849e-05,0.01990583029295684
250.5,3.408726316105283,2.0361062398869673e-06,1.3483908332968923e-05,3.557496514088864e-06,7.056324894248382e-06,0.021020719180412428
254.5,2.206339331070598,5.331225589920836e-07,1.7740771982404403e-05,4.1847606290773895e-06,7.685842162241558e-06,0.017915860711617767
