Delta_t_ms,Kernel
-16.4000,1.6080587769525407e+00
-16.3600,1.6255314389149422e+00
-16.3200,1.6431939533382289e+00
-16.2800,1.6610483830996534e+00
-16.2400,1.6790968134910447e+00
-16.2000,1.6973413524623593e+00
-16.1600,1.7157841308678747e+00
-16.1200,1.7344273027150641e+00
-16.0800,1.7532730454161671e+00
-16.0400,1.7723235600425078e+00
-16.0000,1.7915810715815488e+00
-15.9600,1.8110478291967811e+00
-15.9200,1.8307261064903917e+00
-15.8800,1.8506182017688200e+00
-15.8400,1.8707264383111748e+00
-15.8000,1.8910531646405964e+00
-15.7600,1.9116007547985336e+00
-15.7200,1.9323716086220253e+00
-15.6800,1.9533681520239918e+00
-15.6400,1.9745928372765515e+00
-15.6000,1.9960481432974542e+00
-15.5600,2.0177365759395793e+00
-15.5200,2.0396606682836302e+00
-15.4800,2.0618229809339561e+00
-15.4400,2.0842261023176443e+00
-15.4000,2.1068726489868039e+00
-15.3600,2.1297652659241897e+00
-15.3200,2.1529066268521029e+00
-15.2800,2.1762994345446733e+00
-15.2400,2.1999464211435269e+00
-15.2000,2.2238503484768808e+00
-15.1600,2.2480140083821132e+00
-15.1200,2.2724402230318299e+00
-15.0800,2.2971318452634795e+00
-15.0400,2.3220917589125425e+00
-15.0000,2.3473228791493588e+00
-14.9600,2.3728281528195874e+00
-14.9200,2.3986105587883899e+00
-14.8800,2.4246731082883413e+00
-14.8400,2.4510188452711246e+00
-14.8000,2.4776508467630451e+00
-14.7600,2.5045722232244159e+00
-14.7200,2.5317861189128261e+00
-14.6800,2.5592957122503894e+00
-14.6400,2.5871042161949536e+00
-14.6000,2.6152148786153560e+00
-14.5600,2.6436309826707598e+00
-14.5200,2.6723558471941047e+00
-14.4800,2.7013928270797276e+00
-14.4400,2.7307453136751922e+00
-14.4000,2.7604167351773845e+00
-14.3600,2.7904105570328976e+00
-14.3200,2.8207302823427849e+00
-14.2800,2.8513794522716887e+00
-14.2400,2.8823616464614430e+00
-14.2000,2.9136804834491388e+00
-14.1600,2.9453396210897638e+00
-14.1200,2.9773427569834010e+00
-14.0800,3.0096936289071037e+00
-14.0400,3.0423960152514278e+00
-14.0000,3.0754537354617475e+00
-13.9600,3.1088706504843220e+00
-13.9200,3.1426506632172444e+00
-13.8800,3.1767977189662719e+00
-13.8400,3.2113158059056177e+00
-13.8000,3.2462089555437434e+00
-13.7600,3.2814812431942153e+00
-13.7200,3.3171367884516796e+00
-13.6800,3.3531797556730005e+00
-13.6400,3.3896143544636481e+00
-13.6000,3.4264448401693288e+00
-13.5600,3.4636755143730138e+00
-13.5200,3.5013107253973126e+00
-13.4800,3.5393548688123557e+00
-13.4400,3.5778123879491455e+00
-13.4000,3.6166877744185393e+00
-13.3600,3.6559855686358138e+00
-13.3200,3.6957103603509829e+00
-13.2800,3.7358667891848429e+00
-13.2400,3.7764595451708485e+00
-13.2000,3.8174933693028890e+00
-13.1600,3.8589730540890055e+00
-13.1200,3.9009034441111257e+00
-13.0800,3.9432894365908853e+00
-13.0400,3.9861359819615929e+00
-13.0000,4.0294480844464093e+00
-12.9600,4.0732308026428230e+00
-12.9200,4.1174892501134366e+00
-12.8800,4.1622285959832430e+00
-12.8400,4.2074540655433026e+00
-12.8000,4.2531709408610654e+00
-12.7600,4.2993845613972530e+00
-12.7200,4.3461003246295098e+00
-12.6800,4.3933236866827565e+00
-12.6400,4.4410601629664734e+00
-12.6000,4.4893153288188419e+00
-12.5600,4.5380948201579159e+00
-12.5200,4.5874043341398689e+00
-12.4800,4.6372496298243862e+00
-12.4400,4.6876365288472845e+00
-12.4000,4.7385709161004517e+00
-12.3600,4.7900587404191608e+00
-12.3200,4.8421060152768636e+00
-12.2800,4.8947188194875277e+00
-12.2400,4.9479032979156008e+00
-12.2000,5.0016656621937114e+00
-12.1600,5.0560121914481195e+00
-12.1200,5.1109492330321151e+00
-12.0800,5.1664832032673340e+00
-12.0400,5.2226205881931467e+00
-12.0000,5.2793679443241910e+00
-11.9600,5.3367318994161383e+00
-11.9200,5.3947191532397678e+00
-11.8800,5.4533364783634708e+00
-11.8400,5.5125907209442389e+00
-11.8000,5.5724888015272525e+00
-11.7600,5.6330377158541740e+00
-11.7200,5.6942445356801921e+00
-11.6800,5.7561164095999642e+00
-11.6400,5.8186605638825419e+00
-11.6000,5.8818843033153438e+00
-11.5600,5.9457950120573146e+00
-11.5200,6.0104001545013572e+00
-11.4800,6.0757072761461206e+00
-11.4400,6.1417240044772701e+00
-11.4000,6.2084580498583524e+00
-11.3600,6.2759172064312887e+00
-11.3200,6.3441093530267052e+00
-11.2800,6.4130424540841275e+00
-11.2400,6.4827245605821853e+00
-11.2000,6.5531638109789085e+00
-11.1600,6.6243684321622656e+00
-11.1200,6.6963467404110020e+00
-11.0800,6.7691071423659386e+00
-11.0400,6.8426581360118162e+00
-11.0000,6.9170083116698171e+00
-10.9600,6.9921663530008500e+00
-10.9200,7.0681410380197596e+00
-10.8800,7.1449412401205441e+00
-10.8400,7.2225759291127201e+00
-10.8000,7.3010541722689339e+00
-10.7600,7.3803851353839693e+00
-10.7200,7.4605780838452702e+00
-10.6800,7.5416423837150592e+00
-10.6400,7.6235875028242601e+00
-10.6000,7.7064230118782735e+00
-10.5600,7.7901585855747788e+00
-10.5200,7.8748040037336864e+00
-10.4800,7.9603691524393581e+00
-10.4400,8.0468640251952479e+00
-10.4000,8.1342987240910816e+00
-10.3600,8.2226834609827186e+00
-10.3200,8.3120285586848421e+00
-10.2800,8.4023444521765942e+00
-10.2400,8.4936416898203362e+00
-10.2000,8.5859309345936143e+00
-10.1600,8.6792229653345458e+00
-10.1200,8.7735286780007193e+00
-10.0800,8.8688590869417698e+00
-10.0400,8.9652253261858235e+00
-10.0000,9.0626386507398351e+00
-9.9600,9.1611104379041475e+00
-9.9200,9.2606521886012665e+00
-9.8800,9.3612755287191245e+00
-9.8400,9.4629922104688990e+00
-9.8000,9.5658141137576003e+00
-9.7600,9.6697532475755832e+00
-9.7200,9.7748217513991289e+00
-9.6800,9.8810318966082491e+00
-9.6400,9.9883960879199183e+00
-9.6000,1.0096926864836881e+01
-9.5600,1.0206636903112177e+01
-9.5200,1.0317539016229592e+01
-9.4800,1.0429646156900228e+01
-9.4400,1.0542971418575259e+01
-9.4000,1.0657528036975195e+01
-9.3600,1.0773329391635741e+01
-9.3200,1.0890389007470425e+01
-9.2800,1.1008720556350246e+01
